aux_harm_count,aux_worst_directional_derivative,balanced_best_feasible_mean_derivative,balanced_best_feasible_mean_normalized_derivative,balanced_best_mean_derivative,balanced_best_mean_normalized_derivative,balanced_candidate_count,balanced_feasible_candidate_count,balanced_selected_feasible,balanced_selected_mean_derivative,balanced_selected_mean_normalized_derivative,balanced_selected_worst_derivative,balanced_selected_worst_normalized_derivative,cos_boltz2_distogram_contact__charge_target,cos_boltz2_distogram_contact__solubility_limit,cos_boltz2_distogram_contact__trigram_naturalness,cos_charge_target__trigram_naturalness,cos_protenix_contact__boltz2_distogram_contact,cos_protenix_contact__charge_target,cos_protenix_contact__solubility_limit,cos_protenix_contact__trigram_naturalness,cos_solubility_limit__charge_target,cos_solubility_limit__trigram_naturalness,dir_boltz2_distogram_contact,dir_charge_target,dir_protenix_contact,dir_solubility_limit,dir_trigram_naturalness,hardening_fraction,hardening_mean_margin,hardening_mean_max_prob,hardening_new_positions,hardening_total_positions,loss_boltz2_distogram_contact,loss_charge_target,loss_protenix_contact,loss_solubility_limit,loss_trigram_naturalness,mean_oracle_descent,method,method_aux_slack,method_cone_denominator,method_hardening_max_fraction,method_hardening_sample_count,method_hardening_threshold,method_id,method_max_aux_harms,method_min_primary_descent_ratio,method_terminal_anneal_final_temperature,oracle_harm_rate,primary_directional_derivative,primary_oracle,projected_step_norm,qp_best_primary_derivative,qp_min_allowed_primary_derivative,qp_selected_aux_violation,qp_selected_contact_distance,qp_selected_contact_violation,qp_selected_feasible,qp_selected_primary_ratio,seed,sequence_entropy,sequence_entropy_after,sequence_entropy_delta,step,step_norm,terminal_anneal_temperature,worst_oracle_directional_derivative
1,0.0006626889226026833,,,,,,,,,,,,0.12887530290731833,-0.29916755037974174,-0.030091091869101798,-0.048391032027998715,-0.012398952779236572,0.02869813697929043,-0.019494717352325715,-0.010242453049409165,0.0,0.1884183516812092,-0.007675105705857277,0.0006626889226026833,-6.843985557556152,-0.0682004988193512,-0.08198155462741852,0.0,0.05151412636041641,0.20027917623519897,0.0,0.0,-0.18327926099300385,0.0009901541052386165,3.596325397491455,0.11291849613189697,3.3392081260681152,-1.4002360055572354,naive_weighted,0.02,8,0.0,0,0.0,M3,1,0.0,1.0,0.2,-6.843985557556152,protenix_contact,1.1389495134353638,,,,,,,,0,2.7846856117248535,2.3310675621032715,-0.45361804962158203,0,1.1389495134353638,1.0,0.0006626889226026833
0,-0.006718380376696587,,,,,,,,,,,,0.12887530290731833,-0.29916755037974174,-0.030091091869101798,-0.048391032027998715,-0.012398952779236572,0.02869813697929043,-0.019494717352325715,-0.010242453049409165,0.0,0.1884183516812092,-0.04213709011673927,-0.006718380376696587,-1.7260807752609253,-0.08433124423027039,-0.13637885451316833,0.0,0.0627320259809494,0.17461276054382324,0.0,0.0,-0.18327926099300385,0.0009901541052386165,3.596325397491455,0.11291849613189697,3.3392081260681152,-0.39912926889955996,normalized_weighted,0.02,8,0.0,0,0.0,M4,1,0.0,1.0,0.0,-1.7260807752609253,protenix_contact,0.5123555660247803,,,,,,,,0,2.7846856117248535,2.6233150959014893,-0.16137051582336426,0,0.5123555660247803,1.0,-0.006718380376696587
1,0.0006626889226026833,,,,,,,,,,,,0.12887530290731833,-0.29916755037974174,-0.030091091869101798,-0.048391032027998715,-0.012398952779236572,0.02869813697929043,-0.019494717352325715,-0.010242453049409165,0.0,0.1884183516812092,-0.007675105705857277,0.0006626889226026833,-6.843985557556152,-0.0682004988193512,-0.08198155462741852,0.0,0.05151412636041641,0.20027917623519897,0.0,0.0,-0.18327926099300385,0.0009901541052386165,3.596325397491455,0.11291849613189697,3.3392081260681152,-1.4002360055572354,contact_preserving_soft_cone,0.08,10,0.0,0,0.0,M7c,1,0.6,1.0,0.2,-6.843985557556152,protenix_contact,1.1389495134353638,,,,,,,,0,2.7846856117248535,2.3310675621032715,-0.45361804962158203,0,1.1389495134353638,1.0,0.0006626889226026833
1,0.0008870800957083702,,,,,,,,,,,,0.12887530290731833,-0.29916755037974174,-0.030091091869101798,-0.048391032027998715,-0.012398952779236572,0.02869813697929043,-0.019494717352325715,-0.010242453049409165,0.0,0.1884183516812092,-0.0025524511002004147,0.0008870800957083702,-6.783531188964844,-0.04152193292975426,-0.02730219066143036,0.0,0.05106113478541374,0.1978813260793686,0.0,0.0,-0.18327926099300385,0.0009901541052386165,3.596325397491455,0.11291849613189697,3.3392081260681152,-1.370804136712104,contact_qp_grid,0.08,10,0.0,0,0.0,M8a,0,0.6,1.0,0.2,-6.783531188964844,protenix_contact,1.1159300804138184,-6.843985557556152,-4.106391334533691,0.0,0.9297997355461121,0.0,True,0.9911667889880985,0,2.7846856117248535,2.3434906005859375,-0.441195011138916,0,1.1159300804138184,1.0,0.0008870800957083702
0,-0.0014248810475692153,-0.39912926889955996,-0.44056382447479203,-1.4002360055572354,-0.44056382447479203,1013.0,378.0,True,-0.08786520462017507,-0.44056382447479203,-0.0014248810475692153,-0.3573682416918418,0.12887530290731833,-0.29916755037974174,-0.030091091869101798,-0.048391032027998715,-0.012398952779236572,0.02869813697929043,-0.019494717352325715,-0.010242453049409165,0.0,0.1884183516812092,-0.009356536902487278,-0.0014248810475692153,-0.37935250997543335,-0.018154369667172432,-0.031037725508213043,0.0,0.05767184495925903,0.16093064844608307,0.0,0.0,-0.18327926099300385,0.0009901541052386165,3.596325397491455,0.11291849613189697,3.3392081260681152,-0.08786520462017507,balanced_zero_harm_cone,0.0,10,0.0,0,0.0,M10a,0,0.0,1.0,0.0,-0.37935250997543335,protenix_contact,0.11014094948768616,,,,,,,,0,2.7846856117248535,2.7728452682495117,-0.011840343475341797,0,0.11014094948768616,1.0,-0.0014248810475692153
0,-0.007153788581490517,,,,,,,,,,,,0.12887530290731833,-0.29916755037974174,-0.030091091869101798,-0.048391032027998715,-0.012398952779236572,0.02869813697929043,-0.019494717352325715,-0.010242453049409165,0.0,0.1884183516812092,-0.05378086864948273,-0.007153788581490517,-1.780236005783081,-0.10239310562610626,-0.13979479670524597,0.0,0.06325466930866241,0.17770609259605408,0.0,0.0,-0.18327926099300385,0.0009901541052386165,3.596325397491455,0.11291849613189697,3.3392081260681152,-0.4166717130690813,pcgrad_normalized,0.02,8,0.0,0,0.0,M11a,1,0.0,1.0,0.0,-1.780236005783081,protenix_contact,0.575792670249939,,,,,,,,0,2.7846856117248535,2.5907559394836426,-0.19392967224121094,0,0.575792670249939,1.0,-0.007153788581490517
4,0.036940254271030426,,,,,,,,,,,,0.1344455316601464,-0.3329640665021538,-0.03927049051612988,-0.0305813187521901,-0.07912190728661432,-0.05531979883090493,-0.05176335612228815,-0.03386399148621416,0.0,0.21768900318540824,0.011552700772881508,0.003921940922737122,-15.894818305969238,0.008075535297393799,0.036940254271030426,0.0,0.09078242629766464,0.27896711230278015,0.0,0.0,-0.1670035868883133,0.006739187519997358,3.7149734497070312,0.11875367164611816,3.3163044452667236,-3.1668655749410393,naive_weighted,0.02,8,0.0,0,0.0,M3,1,0.0,1.0,0.8,-15.894818305969238,protenix_contact,1.552964448928833,,,,,,,,1,2.693592071533203,1.985975742340088,-0.7076163291931152,0,1.552964448928833,1.0,0.036940254271030426
0,-0.016905928030610085,,,,,,,,,,,,0.1344455316601464,-0.3329640665021538,-0.03927049051612988,-0.0305813187521901,-0.07912190728661432,-0.05531979883090493,-0.05176335612228815,-0.03386399148621416,0.0,0.21768900318540824,-0.03667856380343437,-0.016905928030610085,-2.392194986343384,-0.07883533090353012,-0.14270168542861938,0.0,0.080949567258358,0.20387433469295502,0.0,0.0,-0.1670035868883133,0.006739187519997358,3.7149734497070312,0.11875367164611816,3.3163044452667236,-0.5334632989019156,normalized_weighted,0.02,8,0.0,0,0.0,M4,1,0.0,1.0,0.0,-2.392194986343384,protenix_contact,0.4886636435985565,,,,,,,,1,2.693592071533203,2.559509754180908,-0.13408231735229492,0,0.4886636435985565,1.0,-0.016905928030610085
0,-0.016905928030610085,,,,,,,,,,,,0.1344455316601464,-0.3329640665021538,-0.03927049051612988,-0.0305813187521901,-0.07912190728661432,-0.05531979883090493,-0.05176335612228815,-0.03386399148621416,0.0,0.21768900318540824,-0.03667856380343437,-0.016905928030610085,-2.392194986343384,-0.07883533090353012,-0.14270168542861938,0.0,0.080949567258358,0.20387433469295502,0.0,0.0,-0.1670035868883133,0.006739187519997358,3.7149734497070312,0.11875367164611816,3.3163044452667236,-0.5334632989019156,contact_preserving_soft_cone,0.08,10,0.0,0,0.0,M7c,1,0.6,1.0,0.0,-2.392194986343384,protenix_contact,0.4886636435985565,,,,,,,,1,2.693592071533203,2.559509754180908,-0.13408231735229492,0,0.4886636435985565,1.0,-0.016905928030610085
4,0.036940254271030426,,,,,,,,,,,,0.1344455316601464,-0.3329640665021538,-0.03927049051612988,-0.0305813187521901,-0.07912190728661432,-0.05531979883090493,-0.05176335612228815,-0.03386399148621416,0.0,0.21768900318540824,0.011552700772881508,0.003921940922737122,-15.894818305969238,0.008075535297393799,0.036940254271030426,0.0,0.09078242629766464,0.27896711230278015,0.0,0.0,-0.1670035868883133,0.006739187519997358,3.7149734497070312,0.11875367164611816,3.3163044452667236,-3.1668655749410393,contact_qp_grid,0.08,10,0.0,0,0.0,M8a,0,0.6,1.0,0.8,-15.894818305969238,protenix_contact,1.552964448928833,-15.975457191467285,-9.58527431488037,0.0,1.383161187171936,0.0,True,0.9949523269016606,1,2.693592071533203,1.985975742340088,-0.7076163291931152,0,1.552964448928833,1.0,0.036940254271030426
