cos_charge_target__trigram_naturalness,cos_hydrophobic_contact__charge_target,cos_hydrophobic_contact__solubility_limit,cos_hydrophobic_contact__trigram_naturalness,cos_solubility_limit__charge_target,cos_solubility_limit__trigram_naturalness,dir_charge_target,dir_hydrophobic_contact,dir_solubility_limit,dir_trigram_naturalness,loss_charge_target,loss_hydrophobic_contact,loss_solubility_limit,loss_trigram_naturalness,mean_oracle_descent,method,method_id,oracle_harm_rate,seed,sequence_entropy,sequence_entropy_delta,step,step_norm,worst_oracle_directional_derivative
-0.047516821604911656,1.2754617913366939e-09,-0.9999998749726575,-0.1989488543643071,-1.4286763729107053e-09,0.19894886902905504,-3.637978807091713e-12,-0.027000002562999725,0.024104461073875427,0.006670605391263962,0.0027118404395878315,-0.38830092549324036,0.09302759170532227,3.3319878578186035,0.0009437659746254212,single_hydrophobic_proxy,M1,0.5,0,2.7187342643737793,-0.0013015270233154297,0,0.1102270558476448,0.024104461073875427
-0.044060286400838485,1.2754617913366939e-09,-1.000000013550634,-0.2070115171209726,0.0,0.2070115084154626,-1.4551915228366852e-11,-0.026992283761501312,0.025396471843123436,0.006854635663330555,0.0027118404395878315,-0.4153009355068207,0.11784013360738754,3.338740348815918,0.0013147059326001909,single_hydrophobic_proxy,M1,0.5,0,2.717432737350464,-0.005888223648071289,1,0.11020095646381378,0.025396471843123436
-0.04029584053424797,1.2754617913366939e-09,-1.0000000331971353,-0.2153230574045737,0.0,0.21532308481244858,-1.9611652533058077e-06,-0.026947565376758575,0.0260898619890213,0.0070212166756391525,0.0027118404395878315,-0.4422932267189026,0.14364098012447357,3.3457000255584717,0.0015403880306621431,single_hydrophobic_proxy,M1,0.5,0,2.7115445137023926,-0.010158061981201172,2,0.11010263115167618,0.0260898619890213
-0.03622828103323074,0.0,-0.9999999801537163,-0.22383279739528497,0.0,0.22383281229117247,7.275957614183426e-12,-0.02692500315606594,0.02646924927830696,0.007195573300123215,0.0027098795399069786,-0.4692407548427582,0.16995207965373993,3.352813720703125,0.0016849548574100481,single_hydrophobic_proxy,M1,0.75,0,2.7013864517211914,-0.014655113220214844,3,0.11007384955883026,0.02646924927830696
-0.031830189892519595,0.0,-0.999999970567787,-0.2325667450822892,2.5748715736999818e-09,0.232566730656899,3.751069016288966e-06,-0.026869159191846848,0.0266288872808218,0.007347981445491314,0.0027098797727376223,-0.49616581201553345,0.19654008746147156,3.360110282897949,0.001777865150870639,single_hydrophobic_proxy,M1,0.75,0,2.6867313385009766,-0.019385814666748047,4,0.10992885380983353,0.0266288872808218
-0.027090819708498772,2.550081243248426e-09,-1.0000000211599374,-0.24150621171782422,-1.2810777595053578e-09,0.24150624685268168,-1.245200473931618e-05,-0.02671605721116066,0.02659015730023384,0.007478966843336821,0.002713632071390748,-0.5230349898338318,0.22323179244995117,3.367541551589966,0.0018351537319176714,single_hydrophobic_proxy,M1,0.5,0,2.6673455238342285,-0.023642778396606445,5,0.10959973186254501,0.02659015730023384
-0.02210370806124736,0.0,-0.9999999603866799,-0.2505760022432965,-2.562318929104058e-09,0.25057603112332183,-1.5145764336921275e-05,-0.026438865810632706,0.026373106986284256,0.0076624806970357895,0.0027011942584067583,-0.5497509837150574,0.24985474348068237,3.3751280307769775,0.0018953940270876046,single_hydrophobic_proxy,M1,0.5,0,2.643702745437622,-0.027716875076293945,6,0.10894215106964111,0.026373106986284256
-0.016887505489361417,-1.281565873136684e-09,-0.9999999327309932,-0.25979803269574325,1.283260363294075e-09,0.25979806577415065,-1.093941682484001e-05,-0.025902073830366135,0.025867873802781105,0.007811049465090036,0.0026860693469643593,-0.5761898756027222,0.2762449383735657,3.382876396179199,0.0019414775051700417,single_hydrophobic_proxy,M1,0.5,0,2.615985870361328,-0.02978348731994629,7,0.10776083916425705,0.025867873802781105
-0.011437468710582864,2.568361338852758e-09,-1.000000046389086,-0.2690571545507153,2.570185520752516e-09,0.26905715588563356,6.422960723284632e-06,-0.025318671017885208,0.025300702080130577,0.007862482219934464,0.002675141440704465,-0.6020919680595398,0.3021215498447418,3.390798807144165,0.0019627340607257793,single_hydrophobic_proxy,M1,0.75,0,2.586202383041382,-0.0313267707824707,8,0.10656404495239258,0.025300702080130577
-0.005730910722898954,0.0,-0.9999999410194729,-0.2783553334304126,0.0,0.27835537086982737,2.051714909612201e-05,-0.024772757664322853,0.024763181805610657,0.007852449081838131,0.0026815684977918863,-0.6274105906486511,0.3274267017841339,3.3987512588500977,0.001965847593055514,single_hydrophobic_proxy,M1,0.75,0,2.554875612258911,-0.033655405044555664,9,0.10536527633666992,0.024763181805610657
0.00022065400150439788,2.5555053956032275e-09,-0.9999999721285497,-0.28763696844201064,1.2780255900113038e-09,0.28763694724007427,2.97101323667448e-05,-0.023999515920877457,0.023994391784071922,0.0077806515619158745,0.0027021244168281555,-0.6521834135055542,0.35219234228134155,3.4066948890686035,0.0019513093893692712,single_hydrophobic_proxy,M1,0.75,0,2.5212202072143555,-0.03492093086242676,10,0.10357090830802917,0.023994391784071922
